,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd Tackles,Mid 3rd Tackles,Att 3rd Tackels,Tkl Vs Dribbles,Att Vs Dribbles,Tkl% Vs Dribbles,Past Vs Dribble,Press Pressures,Succ Pressures,% Pressures,Def 3rd Pressures,Mid 3rd Pressures,Att 3rd Pressures,Blocks,Sh Blocks,ShSv Blocks,Pass Blocks,Int,Tkl+Int,Clr,Err,Matches
479,Jannik Vestergaard\Jannik-Vestergaard,dk DEN,DF,Southampton,28-283,1992,25.6,53,31,35,15,3,28,50,56.0,22,190,73,38.4,127,55,8,36,18,0,18,31,84,141,0,Matches
480,Rúben Vinagre\Ruben-Vinagre,pt POR,DF,Wolves,22-034,1999,1.9,5,3,3,2,0,2,5,40.0,3,26,5,19.2,13,9,4,4,0,0,4,1,6,6,0,Matches
481,Carlos Vinícius\Carlos-Vinicius,br BRA,FW,Tottenham,26-049,1995,3.4,1,0,1,0,0,1,1,100.0,0,51,14,27.5,4,21,26,2,0,0,2,1,2,5,0,Matches
482,João Virgínia\Joao-Virginia,pt POR,GK,Everton,21-215,1999,0.5,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
483,Vitinha\Vitinha,pt POR,MFFW,Wolves,21-089,2000,5.0,8,5,2,5,1,0,7,0.0,7,104,33,31.7,25,62,17,2,0,0,2,3,11,1,0,Matches
484,Jake Vokins\Jake-Vokins,eng ENG,DF,Southampton,21-057,2000,0.7,0,0,0,0,0,0,1,0.0,1,10,2,20.0,6,4,0,0,0,0,0,0,0,1,0,Matches
485,Matěj Vydra\Matej-Vydra,cz CZE,FW,Burnley,29-012,1992,13.9,8,5,3,2,3,1,9,11.1,8,252,72,28.6,9,93,150,15,1,0,14,4,12,6,0,Matches
486,Theo Walcott\Theo-Walcott,eng ENG,FW,Everton,32-058,1989,0.1,0,0,0,0,0,0,0,,0,5,1,20.0,3,2,0,0,0,0,0,0,0,0,0,Matches
487,Theo Walcott\Theo-Walcott,eng ENG,MFFW,Southampton,32-058,1989,17.0,27,18,11,11,5,11,39,28.2,28,319,96,30.1,88,139,92,20,1,0,19,8,35,4,0,Matches
488,Kyle Walker\Kyle-Walker,eng ENG,DF,Manchester City,30-350,1990,19.6,35,26,17,14,4,18,32,56.3,14,214,68,31.8,76,103,35,27,5,0,22,14,49,32,0,Matches
489,Kyle Walker-Peters\Kyle-Walker-Peters,eng ENG,DF,Southampton,24-030,1997,26.7,78,42,55,20,3,25,55,45.5,30,380,117,30.8,205,136,39,61,13,0,48,38,116,64,1,Matches
490,Aaron Wan-Bissaka\Aaron-Wan-Bissaka,eng ENG,DF,Manchester Utd,23-168,1997,32.0,94,49,57,30,7,19,38,50.0,19,407,127,31.2,186,164,57,110,16,0,94,63,157,105,0,Matches
491,Joel Ward\Joel-Ward,eng ENG,DF,Crystal Palace,31-196,1989,22.1,42,26,31,11,0,17,34,50.0,17,304,85,28.0,170,94,40,46,9,0,37,47,89,96,1,Matches
492,James Ward-Prowse\James-Ward-Prowse,eng ENG,MF,Southampton,26-193,1994,35.0,76,53,32,37,7,28,70,40.0,42,547,179,32.7,190,281,76,68,4,0,64,41,117,70,0,Matches
493,Ollie Watkins\Ollie-Watkins,eng ENG,FW,Aston Villa,25-134,1995,34.0,34,21,5,18,11,10,29,34.5,19,579,158,27.3,34,226,319,17,2,0,15,9,43,21,0,Matches
